adoption_scenario,forecast_year,managed_flag,kw,kwh,mwh_per_day
baseline,2018,False,1353.0291412177257,1353.0291412177257,1.3530291412177258
baseline,2018,True,1353.0291412177246,1353.0291412177246,1.3530291412177247
baseline,2019,False,4838.922677477989,4838.922677477989,4.838922677477989
baseline,2019,True,4838.922677477986,4838.922677477986,4.838922677477987
baseline,2020,False,10368.868866003779,10368.868866003779,10.368868866003778
baseline,2020,True,10368.868866003775,10368.868866003775,10.368868866003774
baseline,2021,False,18743.139701897875,18743.139701897875,18.743139701897874
baseline,2021,True,18743.13970189787,18743.13970189787,18.74313970189787
baseline,2022,False,31196.933447921205,31196.933447921205,31.196933447921204
baseline,2022,True,31196.933447921198,31196.933447921198,31.196933447921197
baseline,2023,False,48066.21091840799,48066.21091840799,48.06621091840799
baseline,2023,True,48066.210918407975,48066.210918407975,48.066210918407975
baseline,2024,False,71358.39511912302,71358.39511912302,71.35839511912302
baseline,2024,True,71358.395119123,71358.395119123,71.358395119123
baseline,2025,False,102264.46188358855,102264.46188358855,102.26446188358855
baseline,2025,True,102264.46188358852,102264.46188358852,102.26446188358852
baseline,2026,False,140571.68313288718,140571.68313288718,140.5716831328872
baseline,2026,True,140571.68313288712,140571.68313288712,140.57168313288713
baseline,2027,False,174571.42811088724,174571.42811088724,174.57142811088724
baseline,2027,True,174571.4281108872,174571.4281108872,174.5714281108872
tco,2018,False,1998.4166495716104,1998.4166495716104,1.9984166495716105
tco,2018,True,1998.416649571609,1998.416649571609,1.998416649571609
tco,2019,False,5880.51447754876,5880.51447754876,5.8805144775487594
tco,2019,True,5880.514477548758,5880.514477548758,5.880514477548758
tco,2020,False,11579.596294723955,11579.596294723955,11.579596294723954
tco,2020,True,11579.596294723951,11579.596294723951,11.57959629472395
tco,2021,False,19940.68292600202,19940.68292600202,19.94068292600202
tco,2021,True,19940.682926002017,19940.682926002017,19.940682926002015
tco,2022,False,32080.175955979223,32080.175955979223,32.08017595597922
tco,2022,True,32080.175955979215,32080.175955979215,32.080175955979215
tco,2023,False,48577.36980540304,48577.36980540304,48.57736980540304
tco,2023,True,48577.369805403025,48577.369805403025,48.57736980540302
tco,2024,False,71379.65741522501,71379.65741522501,71.37965741522501
tco,2024,True,71379.65741522498,71379.65741522498,71.37965741522498
tco,2025,False,102128.26868729564,102128.26868729564,102.12826868729564
tco,2025,True,102128.26868729561,102128.26868729561,102.12826868729562
tco,2026,False,140247.81069993073,140247.81069993073,140.24781069993074
tco,2026,True,140247.8106999307,140247.8106999307,140.2478106999307
tco,2027,False,174009.17962116603,174009.17962116603,174.00917962116603
tco,2027,True,174009.17962116597,174009.17962116597,174.00917962116597
tco_evse,2018,False,4932.706217328724,4932.706217328724,4.932706217328724
tco_evse,2018,True,4932.706217328722,4932.706217328722,4.932706217328723
tco_evse,2019,False,8668.09559185621,8668.09559185621,8.668095591856211
tco_evse,2019,True,8668.095591856207,8668.095591856207,8.668095591856206
tco_evse,2020,False,13488.17268059978,13488.17268059978,13.48817268059978
tco_evse,2020,True,13488.172680599775,13488.172680599775,13.488172680599774
tco_evse,2021,False,21087.67593234222,21087.67593234222,21.08767593234222
tco_evse,2021,True,21087.675932342212,21087.675932342212,21.08767593234221
tco_evse,2022,False,32899.32542186864,32899.32542186864,32.89932542186864
tco_evse,2022,True,32899.325421868634,32899.325421868634,32.89932542186863
tco_evse,2023,False,49138.80921932425,49138.80921932425,49.13880921932425
tco_evse,2023,True,49138.80921932424,49138.80921932424,49.138809219324244
tco_evse,2024,False,74350.62137451756,74350.62137451756,74.35062137451756
tco_evse,2024,True,74350.62137451753,74350.62137451753,74.35062137451753
tco_evse,2025,False,103394.95962137358,103394.95962137358,103.39495962137357
tco_evse,2025,True,103394.95962137355,103394.95962137355,103.39495962137354
tco_evse,2026,False,136777.78883536655,136777.78883536655,136.77778883536655
tco_evse,2026,True,136777.7888353665,136777.7888353665,136.7777888353665
tco_evse,2027,False,165914.61164288517,165914.61164288517,165.91461164288518
tco_evse,2027,True,165914.61164288514,165914.61164288514,165.91461164288515
