DMV_ID,date,stock_all_t,stock_ev_t,flow_ev_t,gas_price_t,elec_price_t,C_gas_t,C_ev_t,tco_adv_t
11,2018-01-02,2357789,8011,556,2.633,0.22,0.09403571428571429,0.066,0.02803571428571429
12,2018-03-05,2358945,8430,606,2.641,0.22,0.09432142857142857,0.066,0.028321428571428567
13,2018-04-03,2369912,8668,345,2.831,0.22,0.10110714285714285,0.066,0.03510714285714285
14,2018-05-09,2356484,8901,327,3.008,0.22,0.10742857142857143,0.066,0.041428571428571426
15,2018-06-26,2377120,9162,350,2.993,0.22,0.10689285714285714,0.066,0.040892857142857134
16,2018-07-03,2391953,9424,388,2.931,0.22,0.10467857142857143,0.066,0.03867857142857142
17,2018-08-02,2399194,9599,311,2.905,0.22,0.10375,0.066,0.03774999999999999
18,2018-09-02,2405408,9887,437,2.891,0.22,0.10325,0.066,0.03724999999999999
19,2018-10-02,2404711,10213,496,2.897,0.22,0.1034642857142857,0.066,0.0374642857142857
20,2018-11-02,2405849,10649,557,2.753,0.22,0.09832142857142857,0.066,0.03232142857142857
21,2018-12-02,2413914,11074,584,2.562,0.22,0.0915,0.066,0.025499999999999995
22,2019-01-02,2372933,11601,707,2.42,0.22,0.08642857142857142,0.066,0.02042857142857142
23,2019-02-02,2379260,11978,533,2.378,0.22,0.08492857142857144,0.066,0.018928571428571433
24,2019-03-02,2378009,12155,317,2.547,0.22,0.09096428571428572,0.066,0.024964285714285717
25,2019-04-02,2381357,12376,392,2.79,0.22,0.09964285714285714,0.066,0.03364285714285714
26,2019-05-02,2372745,12645,396,2.937,0.22,0.10489285714285713,0.066,0.03889285714285713
27,2019-06-02,2391508,12861,357,2.798,0.22,0.09992857142857144,0.066,0.03392857142857143
28,2019-07-02,2400190,13158,480,2.805,0.22,0.10017857142857144,0.066,0.03417857142857143
29,2019-08-02,2403253,13404,463,2.747,0.22,0.09810714285714285,0.066,0.03210714285714285
30,2019-09-03,2407851,13566,364,2.617,0.22,0.09346428571428571,0.066,0.027464285714285705
31,2019-10-11,2407378,13842,454,2.542,0.22,0.09078571428571428,0.066,0.024785714285714272
32,2019-11-02,2409946,14096,462,2.565,0.22,0.09160714285714286,0.066,0.025607142857142856
33,2019-12-02,2409784,14278,373,2.553,0.22,0.09117857142857143,0.066,0.025178571428571425
34,2020-01-02,2364874,14616,541,2.59,0.22,0.0925,0.066,0.026499999999999996
35,2020-02-02,2375367,14888,461,2.455,0.22,0.08767857142857143,0.066,0.021678571428571422
36,2020-03-02,2371155,15074,350,2.309,0.22,0.08246428571428573,0.066,0.016464285714285723
37,2020-04-02,2367542,15209,344,2.074,0.22,0.07407142857142857,0.066,0.008071428571428563
38,2020-05-04,2338374,15340,267,2.043,0.22,0.07296428571428572,0.066,0.0069642857142857145
