DMV_ID,date,stock_all_t,stock_ev_t,flow_ev_t,gas_price_t,elec_price_t,C_gas_t,C_ev_t,tco_adv_t,adopt_ev_t,adopt_ev_cum_t,adopt_ev_cum_prev
11,2018-01-02,2357789,8011,556,2.633,0.19915455365193868,0.09403571428571429,0.0597463660955816,0.03428934819013269,556.0,11320.0,10764.0
12,2018-03-05,2358945,8430,606,2.641,0.1957980162308386,0.09432142857142857,0.058739404869251576,0.035582023702176994,606.0,11926.0,11320.0
13,2018-04-03,2369912,8668,345,2.831,0.2013922452660054,0.10110714285714285,0.06041767357980162,0.04068946927734123,345.0,12271.0,11926.0
14,2018-05-09,2356484,8901,327,3.008,0.20698647430117223,0.10742857142857143,0.06209594229035167,0.04533262913821976,327.0,12598.0,12271.0
15,2018-06-26,2377120,9162,350,2.993,0.21593724075743914,0.10689285714285714,0.06478117222723175,0.04211168491562539,350.0,12948.0,12598.0
16,2018-07-03,2391953,9424,388,2.931,0.21705608656447248,0.10467857142857143,0.06511682596934174,0.03956174545922969,388.0,13336.0,12948.0
17,2018-08-02,2399194,9599,311,2.905,0.21258070333633902,0.10375,0.0637742110009017,0.03997578899909829,311.0,13647.0,13336.0
18,2018-09-02,2405408,9887,437,2.891,0.21593724075743914,0.10325,0.06478117222723175,0.03846882777276825,437.0,14084.0,13647.0
19,2018-10-02,2404711,10213,496,2.897,0.21593724075743914,0.1034642857142857,0.06478117222723175,0.03868311348705396,496.0,14580.0,14084.0
20,2018-11-02,2405849,10649,557,2.753,0.2036299368800721,0.09832142857142857,0.06108898106402163,0.037232447507406945,557.0,15137.0,14580.0
21,2018-12-02,2413914,11074,584,2.562,0.1935603246167719,0.0915,0.05806809738503156,0.03343190261496844,584.0,15721.0,15137.0
22,2019-01-02,2372933,11601,707,2.42,0.19724902143522838,0.08642857142857142,0.05917470643056851,0.027253864998002912,707.0,16428.0,15721.0
23,2019-02-02,2379260,11978,533,2.378,0.20066952469711094,0.08492857142857144,0.06020085740913328,0.024727714019438157,533.0,16961.0,16428.0
24,2019-03-02,2378009,12155,317,2.547,0.19154818266542406,0.09096428571428572,0.05746445479962722,0.0334998309146585,317.0,17278.0,16961.0
25,2019-04-02,2381357,12376,392,2.79,0.19952935694315005,0.09964285714285714,0.05985880708294501,0.03978405005991213,392.0,17670.0,17278.0
26,2019-05-02,2372745,12645,396,2.937,0.19724902143522838,0.10489285714285713,0.05917470643056851,0.04571815071228862,396.0,18066.0,17670.0
27,2019-06-02,2391508,12861,357,2.798,0.21093103448275863,0.09992857142857144,0.06327931034482759,0.03664926108374385,357.0,18423.0,18066.0
28,2019-07-02,2400190,13158,480,2.805,0.2120712022367195,0.10017857142857144,0.06362136067101584,0.036557210757555594,480.0,18903.0,18423.0
29,2019-08-02,2403253,13404,463,2.747,0.20979086672879774,0.09810714285714285,0.06293726001863932,0.03516988283850353,463.0,19366.0,18903.0
30,2019-09-03,2407851,13566,364,2.617,0.21321136999068036,0.09346428571428571,0.06396341099720411,0.0295008747170816,364.0,19730.0,19366.0
31,2019-10-11,2407378,13842,454,2.542,0.2120712022367195,0.09078571428571428,0.06362136067101584,0.027164353614698433,454.0,20184.0,19730.0
32,2019-11-02,2409946,14096,462,2.565,0.20523019571295437,0.09160714285714286,0.06156905871388631,0.030038084143256552,462.0,20646.0,20184.0
33,2019-12-02,2409784,14278,373,2.553,0.19724902143522838,0.09117857142857143,0.05917470643056851,0.032003864998002916,373.0,21019.0,20646.0
34,2020-01-02,2364874,14616,541,2.59,0.2038973612374886,0.0925,0.06116920837124658,0.03133079162875342,541.0,21560.0,21019.0
35,2020-02-02,2375367,14888,461,2.455,0.2015803457688808,0.08767857142857143,0.06047410373066423,0.027204467697907193,461.0,22021.0,21560.0
36,2020-03-02,2371155,15074,350,2.309,0.19926333030027293,0.08246428571428573,0.05977899909008188,0.022685286624203847,350.0,22371.0,22021.0
37,2020-04-02,2367542,15209,344,2.074,0.20042183803457686,0.07407142857142857,0.060126551410373055,0.01394487716105551,344.0,22715.0,22371.0
38,2020-05-04,2338374,15340,267,2.043,0.21432393084622384,0.07296428571428572,0.06429717925386715,0.008667106460418572,267.0,22982.0,22715.0
