zip,region
11691,LIPA
11692,LIPA
11693,LIPA
11694,LIPA
11695,LIPA
11697,LIPA
10516,CHGE
10524,CHGE
10916,CHGE
10953,CHGE
12015,CHGE
12042,CHGE
12051,CHGE
12058,CHGE
12083,CHGE
12087,CHGE
12124,CHGE
12176,CHGE
12192,CHGE
12405,CHGE
12413,CHGE
12414,CHGE
12418,CHGE
12422,CHGE
12423,CHGE
12427,CHGE
12431,CHGE
12436,CHGE
12442,CHGE
12444,CHGE
12450,CHGE
12451,CHGE
12452,CHGE
12460,CHGE
12463,CHGE
12470,CHGE
12473,CHGE
12482,CHGE
12485,CHGE
12492,CHGE
12503,CHGE
12518,CHGE
12520,CHGE
12543,CHGE
12550,CHGE
12553,CHGE
12575,CHGE
