date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2018-01-02,11.0,1,8011.0,556.0,8011.0,,,,8011.0,,,,8011.0,,,
2018-03-05,12.0,1,8430.0,606.0,8361.694657486034,350.69465748603466,,,8363.06300798279,352.06300798279017,,,8439.998411646662,428.9984116466614,,
2018-04-03,13.0,1,8668.0,345.0,8798.564333199403,368.5643331994029,,,8799.791100162747,369.7911001627466,,,8936.410712550653,506.41071255065265,,
2018-05-09,14.0,1,8901.0,327.0,9046.694528030057,378.69452803005765,,,9048.222253101883,380.2222531018832,,,9247.107129932267,579.1071299322663,,
2018-06-26,15.0,1,9162.0,350.0,9289.597781221186,388.5977812211857,,,9290.46181028773,389.46181028773015,,,9489.695524830293,588.6955248302922,,
2018-07-03,16.0,1,9424.0,388.0,9561.674532885414,399.6745328854133,,,9561.570981391284,399.57098139128436,,,9729.053508290654,567.053508290653,,
2018-08-02,17.0,1,9599.0,311.0,9834.776090842528,410.77609084252765,,,9833.898037920922,409.8980379209233,,,9982.997968065665,558.997968065665,,
2018-09-02,18.0,1,9887.0,437.0,10017.181412315507,418.181412315507,,,10015.808423183493,416.80842318349335,,,10154.91052374128,555.9105237412799,,
2018-10-02,19.0,1,10213.0,496.0,10317.351296108183,430.35129610818285,,,10315.320088216678,428.3200882166786,,,10456.973606989039,569.9736069890386,,
2018-11-02,20.0,1,10649.0,557.0,10657.101170092696,444.1011700926952,,,10653.580460626064,440.58046062606496,,,10752.59672791792,539.5967279179201,,
2018-12-02,21.0,1,11074.0,584.0,11111.447818402654,462.4478184026531,,,11105.994414638122,456.9944146381224,,,11154.06289057581,505.06289057581006,,
