date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2011-03-01,1.0,1,316.0,324.0,324.0,17.563583207124303,17.563583207124303,,,17.629436802725536,17.629436802725536,,,19.06519837942978,19.06519837942978,,
2011-04-01,,1,,10.0,334.0,47.913494806146325,30.5634346680041,,,48.02811891779034,30.613005775911898,,,50.85695703595535,32.023537082415146,,
2011-05-01,,1,,10.0,344.0,78.29477717147165,30.963773781570918,,,78.457077445878,31.01284344654798,,,82.66127907047846,32.422597554805435,,
2011-06-01,,1,,10.0,354.0,108.70699557857532,31.364059549641105,,,108.9158910327247,31.41262783773448,,,114.47795855935858,32.8216048383927,,
2011-07-01,,1,,10.0,364.0,139.1497205879425,31.764291972214668,,,139.4041434465325,31.8123589494714,,,146.30679208239928,33.220558933176946,,
2011-08-01,,1,,10.0,374.0,169.62252798081778,32.1644710492916,,,169.92142351569473,32.21203678175875,,,178.14757869241336,33.61945983915816,,
2011-09-01,,1,,10.0,384.0,200.12499869573574,32.56459678087191,,,200.46732506727858,32.61166133459652,,,210.00011988515823,34.01830755633636,,
2011-10-01,,1,,10.0,394.0,230.65671876582286,32.96466916695559,,,231.04144686625534,33.01123260798471,,,241.86421956963665,34.41710208471153,,
2011-11-01,,1,,10.0,404.0,261.2172792568619,33.36468820754264,,,261.6433925554698,33.41075060192332,,,273.7396840387584,34.81584342428368,,
2011-12-01,,1,,10.0,414.0,291.80627620610926,33.764653902633064,,,292.2727705963389,33.810215316412354,,,305.62632194035905,35.2145315750528,,
2012-01-01,,1,,10.0,424.0,322.42331056185577,34.16456625222686,,,322.92919421027204,34.209626751451815,,,337.52394424857056,35.613166537018905,,
2012-02-01,,1,,10.0,434.0,353.0679881237229,34.564425256324036,,,353.61228132080277,34.608984907041695,,,369.43236423554015,36.011748310181986,,
2012-03-01,2.0,1,391.0,54.0,488.0,383.7399194836839,34.96423091492458,,,384.32165449642457,35.00828978318199,,,401.35139744349317,36.410276894542044,,
2012-04-01,,1,,66.0,554.0,416.1969964009604,37.1222596611858,,,416.81301495969973,37.16361544545094,,,435.0335215146064,38.56141214757009,,
2012-05-01,,1,,69.0,623.0,450.89496605992434,39.757737869394205,,,451.54155022068124,39.79579249979857,,,470.9332260730998,41.18847118022687,,
2012-06-01,,1,,66.0,689.0,487.9238954948311,42.51052597510667,,,488.5972255369105,42.54513247534341,,,509.1404861719462,43.93246471859449,,
2012-07-01,,1,,68.0,757.0,527.1333839029724,45.1412510995656,,,527.8298394036856,45.17256233073369,,,549.505574890371,46.55478462890187,,
2012-08-01,,1,,69.0,826.0,568.5742104299519,47.849264746363616,,,569.2901181330872,47.877183860928206,,,592.0793001457381,49.25414549704978,,
2012-09-01,,1,,66.0,892.0,612.2565507246806,50.59458074836352,,,612.9882352679895,50.619060983970705,,,636.8719937328129,51.9906888797779,,
2012-10-01,,1,,69.0,961.0,658.0314162668259,53.21815864318435,,,658.7753994288528,53.239352458706584,,,683.7353296183799,54.60588255425618,,
2012-11-01,,1,,66.0,1027.0,705.9901368927967,55.95850551217345,,,706.742836430747,55.97626660102094,,,732.7605298701627,57.33747139998267,,
2012-12-01,,1,,68.0,1095.0,755.984641096638,58.57733032324481,,,756.7426705089522,58.59181087679945,,,783.8001780909202,59.947925952111554,,
2013-01-01,,1,,69.0,1164.0,808.0671074642094,61.273083041098054,,,808.8270250184702,61.28418665830306,,,836.9064657414038,62.635061905772545,,
2013-02-01,,1,,62.0,1226.0,862.2492743792561,64.00595780637461,,,863.0076336455792,64.01363794811508,,,892.0912711179801,65.35920059585952,,
2013-03-01,3.0,1,1166.0,113.0,1339.0,918.2262009476275,66.45941804643985,,,918.9799473861599,66.46402470399157,,,949.0508034810043,67.80481739255991,,
2013-04-01,,1,,122.0,1461.0,977.9889623829379,70.92577265767655,,,978.7325569301131,70.92478417283466,,,1009.76994521255,72.2568921888085,,
2013-05-01,,1,,127.0,1588.0,1041.839614014356,75.74020755038882,,,1042.5671487828542,75.73318776018777,,,1074.5499556006655,77.05593239816343,,
2013-06-01,,1,,122.0,1710.0,1109.9173369406708,80.74352062534095,,,1110.6227391246118,80.7302327881641,,,1143.529738094941,82.04324463572156,,
2013-07-01,,1,,126.0,1836.0,1181.965658556101,85.54175022308783,,,1182.6431859829902,85.52245114432452,,,1216.4538057242742,86.826127150494,,
2013-08-01,,1,,126.0,1962.0,1258.085292010141,90.48896412364654,,,1258.7290855452231,90.46346703259972,,,1293.4227128346736,91.75751526683854,,
2013-09-01,,1,,122.0,2084.0,1338.2182726338306,95.42770889316074,,,1338.8225548583448,95.39602427545995,,,1374.3788414622072,96.68045912881507,,
2013-10-01,,1,,126.0,2210.0,1422.1509539193066,100.20159800770665,,,1422.7102240724394,100.16393228436715,,,1459.1093880331396,101.43907265654396,,
2013-11-01,,1,,122.0,2332.0,1509.9853285999338,105.1236733764348,,,1510.4939670117972,105.07984076482339,,,1547.7161762894652,106.3453960813517,,
2013-12-01,,1,,126.0,2458.0,1601.5096367465653,109.88142227752122,,,1601.9622978322545,109.83162854346638,,,1639.9882794885416,111.08791680483777,,
2014-01-01,,1,,126.0,2584.0,1696.8266763612103,114.78682824546335,,,1697.2178943954382,114.73088826151863,,,1736.0283201206914,115.97761979247672,,
2014-02-01,,1,,114.0,2698.0,1795.8818695175225,119.68376508236096,,,1796.2062557082588,119.62168933415596,,,1835.7820465609802,120.85887852574766,,
2014-03-01,4.0,1,2517.0,137.0,2835.0,1898.156098331306,124.10702931847261,,,1898.4089227925965,124.03941119974465,,,1938.7321529714654,125.26797924664392,,
2014-04-01,,1,,135.0,2970.0,2004.4934695137142,129.41353455653896,,,2004.6689530197623,129.33926722552584,,,2045.7201908816269,130.55749035929423,,
2014-05-01,,1,,140.0,3110.0,2114.7573253813475,134.63277833167174,,,2114.8498681602887,134.55197098340426,,,2156.6100859586836,135.76001686737874,,
2014-06-01,,1,,135.0,3245.0,2229.082967398239,140.03505842370876,,,2229.086808246654,139.94748154938267,,,2271.536850072515,141.1449906978473,,
2014-07-01,,1,,140.0,3385.0,2347.2181749991532,145.23449768321876,,,2347.127876782195,145.1404053116054,,,2390.249212745917,146.32777086280936,,
2014-08-01,,1,,140.0,3525.0,2469.2989375502857,150.61623975905437,,,2469.1089006324987,150.51540328949645,,,2512.8828678757477,151.6922670041139,,
2014-09-01,,1,,135.0,3660.0,2595.2668326414046,155.98752611755103,,,2594.9715384081474,155.87995849527027,,,2639.379718726433,157.04633814002582,,
2014-10-01,,1,,140.0,3800.0,2724.8728699159933,161.15707856257572,,,2724.467119501531,161.0430324458672,,,2769.4917098605233,162.19931927809392,,
2014-11-01,,1,,135.0,3935.0,2858.2540158407287,166.507826904871,,,2857.732446352524,166.38707506355368,,,2903.355503793594,167.5329127248418,,
2014-12-01,,1,,139.0,4074.0,2995.1633754506106,171.65757483427285,,,2994.520940943748,171.53036901849492,,,3040.725130654399,172.6661475197874,,
2015-01-01,,1,,139.0,4213.0,3135.700482272909,176.9497493045862,,,3134.9320194952343,176.81591086281432,,,3181.6999366174814,177.9413494167494,,
2015-02-01,,1,,126.0,4339.0,3279.8109263668234,182.2316168914962,,,3278.376205544791,181.55601653191906,,,3324.5354320507904,181.51589037521808,,
2015-03-01,5.0,1,3881.0,135.0,4474.0,3426.9483724979204,187.01059083170233,,,3425.967541922044,187.447038965424,,,3474.0547705160843,189.93620557150007,,
2015-04-01,,1,,130.0,4604.0,3577.40797809499,192.12152191048352,,,3577.57943188602,193.26188217555617,,,3629.430056840154,197.60988205915464,,
2015-05-01,,1,,135.0,4739.0,3730.950872670444,197.03397048381214,,,3733.2654616669565,199.17919007829545,,,3791.846694462543,206.54015360732438,,
2015-06-01,,1,,130.0,4869.0,3887.7189703798945,202.12581721117502,,,3892.225077294475,204.34547392872076,,,3957.7067953192204,211.9581398367174,,
2015-07-01,,1,,135.0,5004.0,4047.475286275996,207.01988826091562,,,4054.2711295736767,209.3644060497358,,,4126.9896060650735,217.39723541091746,,
2015-08-01,,1,,135.0,5139.0,4210.362183476154,212.0926506368601,,,4218.528891187338,213.5461331186774,,,4295.636649456097,218.8194641295607,,
2015-09-01,,1,,130.0,5269.0,4376.331880825415,217.15569079604435,,,4384.5774206753495,217.3338068037753,,,4462.639058080636,219.2250963191377,,
2015-10-01,,1,,135.0,5404.0,4545.1501915004355,222.02202218753885,,,4552.8719742908015,221.59850737087828,,,4630.505276355705,222.11917885854155,,
2015-11-01,,1,,130.0,5534.0,4716.960108905554,227.06597799530476,,,4724.0594467182855,226.5374078688311,,,4801.047280985331,226.83573956317392,,
2015-12-01,,1,,135.0,5669.0,4891.529261697089,231.91393186321125,,,4897.96781087286,231.33945092210365,,,4974.223875801053,231.54363402832422,,
2016-01-01,,1,,135.0,5804.0,5069.001023032326,236.9388033195588,,,5074.3362505975,235.91375609998718,,,5148.95571089345,235.20420768514668,,
2016-02-01,,1,,126.0,5930.0,5249.330383254749,241.95395255914607,,,5252.751302749515,240.10450563637656,,,5324.268786466435,237.90968883108158,,
2016-03-01,6.0,1,4730.0,196.0,6126.0,5432.13948723098,246.6259869160838,,,5433.8527111438125,244.95987995650728,,,5502.617076471223,243.07621015439952,,
2016-04-01,,1,,207.0,6333.0,5619.97692928865,253.87676221084908,,,5620.627533481253,252.83497040616513,,,5687.822318833852,252.1013689528294,,
2016-05-01,,1,,214.0,6547.0,5813.166259773967,261.51221809878666,,,5813.3889427045915,261.0922063278427,,,5880.325746004263,261.65112118136557,,
2016-06-01,,1,,207.0,6754.0,6011.876588267165,269.3818472631561,,,6011.835570218537,269.1208534731029,,,6078.87753546975,270.0397760052625,,
2016-07-01,,1,,214.0,6968.0,6215.760132905588,276.9708141511481,,,6215.337798894194,276.5889995259218,,,6282.2200695118245,277.2443439423004,,
2016-08-01,,1,,214.0,7182.0,6424.986603322944,284.79238222378626,,,6423.800905262252,284.02388379768246,,,6489.703538850426,283.85734438699393,,
