region,group,metric,approx_unique_vins
CHGE,1,ALL,573013
CHGE,1,EV,40
CHGE,10,ALL,551514
CHGE,10,EV,1033
CHGE,100,ALL,560405
CHGE,100,EV,12092
CHGE,101,ALL,562279
CHGE,101,EV,12325
CHGE,102,ALL,560851
CHGE,102,EV,12585
CHGE,11,ALL,527500
CHGE,11,EV,1089
CHGE,12,ALL,535873
CHGE,12,EV,1164
CHGE,13,ALL,538714
CHGE,13,EV,1199
CHGE,14,ALL,537581
CHGE,14,EV,1229
CHGE,15,ALL,545868
CHGE,15,EV,1263
CHGE,16,ALL,550968
CHGE,16,EV,1287
CHGE,17,ALL,550112
CHGE,17,EV,1326
CHGE,18,ALL,552259
CHGE,18,EV,1380
CHGE,19,ALL,553914
CHGE,19,EV,1419
CHGE,2,ALL,568469
CHGE,2,EV,54
CHGE,20,ALL,553449
CHGE,20,EV,1495
CHGE,21,ALL,553844
CHGE,21,EV,1584
CHGE,22,ALL,530857
CHGE,22,EV,1670
CHGE,23,ALL,538146
CHGE,23,EV,1731
CHGE,24,ALL,538678
CHGE,24,EV,1766
CHGE,25,ALL,540679
CHGE,25,EV,1810
CHGE,26,ALL,539629
CHGE,26,EV,1856
CHGE,27,ALL,547319
CHGE,27,EV,1903
CHGE,28,ALL,550557
CHGE,28,EV,1964
CHGE,29,ALL,551424
CHGE,29,EV,2028
CHGE,3,ALL,567310
CHGE,3,EV,161
CHGE,30,ALL,551840
CHGE,30,EV,2070
CHGE,31,ALL,553548
CHGE,31,EV,2096
CHGE,32,ALL,553747
CHGE,32,EV,2142
CHGE,33,ALL,553720
CHGE,33,EV,2173
CHGE,34,ALL,530529
CHGE,34,EV,2244
CHGE,35,ALL,536476
CHGE,35,EV,2277
CHGE,36,ALL,538967
CHGE,36,EV,2302
CHGE,37,ALL,540466
CHGE,37,EV,2334
CHGE,38,ALL,531617
CHGE,38,EV,2363
CHGE,39,ALL,533177
CHGE,39,EV,2377
CHGE,4,ALL,566439
CHGE,4,EV,345
CHGE,40,ALL,537606
CHGE,40,EV,2398
CHGE,41,ALL,540998
CHGE,41,EV,2440
CHGE,42,ALL,540360
CHGE,42,EV,2471
CHGE,43,ALL,545035
CHGE,43,EV,2533
CHGE,44,ALL,549719
CHGE,44,EV,2634
CHGE,45,ALL,550867
CHGE,45,EV,2706
CHGE,46,ALL,532263
CHGE,46,EV,2770
CHGE,47,ALL,537887
CHGE,47,EV,2876
CHGE,48,ALL,538912
CHGE,48,EV,2939
CHGE,49,ALL,542971
CHGE,49,EV,3050
CHGE,5,ALL,565868
CHGE,5,EV,475
CHGE,50,ALL,597136
CHGE,50,EV,3191
CHGE,51,ALL,603316
CHGE,51,EV,3288
CHGE,52,ALL,609579
CHGE,52,EV,3505
CHGE,53,ALL,609435
CHGE,53,EV,3647
CHGE,54,ALL,609970
CHGE,54,EV,3752
CHGE,55,ALL,610927
CHGE,55,EV,3914
CHGE,56,ALL,611589
CHGE,56,EV,4039
CHGE,57,ALL,612196
CHGE,57,EV,4123
CHGE,58,ALL,591514
CHGE,58,EV,4243
CHGE,59,ALL,595130
CHGE,59,EV,4302
CHGE,6,ALL,571493
CHGE,6,EV,566
CHGE,60,ALL,594973
CHGE,60,EV,4360
CHGE,61,ALL,597985
CHGE,61,EV,4549
CHGE,62,ALL,589129
CHGE,62,EV,4640
CHGE,63,ALL,599082
CHGE,63,EV,4811
CHGE,64,ALL,603911
CHGE,64,EV,4969
CHGE,65,ALL,602916
CHGE,65,EV,5118
CHGE,66,ALL,603224
CHGE,66,EV,5257
CHGE,67,ALL,603614
CHGE,67,EV,5370
CHGE,68,ALL,549082
CHGE,68,EV,5511
CHGE,69,ALL,548355
CHGE,69,EV,5682
CHGE,7,ALL,548007
CHGE,7,EV,829
CHGE,70,ALL,547848
CHGE,70,EV,5820
